iata1,lat1,long1
TUN,36.85238731,10.22939265
TUL,36.19766997,-95.88947668
GLA,55.86652024,-4.43330785
MAJ,7.06357906,171.2698625
ESB,40.13319326,32.9998854
HGH,30.33323146,120.2330214
BKK,13.68575247,100.7486058
SVO,55.98317417,37.41657753
AAR,56.2998472,10.61883115
FIH,-4.38328875,15.43326966
ATH,37.93624903,23.94436591
HOU,29.64488158,-95.27836132
BLI,48.79428951,-122.5344156
ROI,16.11520243,103.7766807
CAL,55.43622993,-5.6866501
CPH,55.60788769,12.63328876
KSA,5.34998089,162.9745989
DMM,26.46657752,49.7998281
SHA,31.1998854,121.3330405
MRU,-20.42744461,57.67620319
LUN,-15.32910618,28.45267378
AKL,-37.01098166,174.7987013
OKA,26.19992359,127.6496562
JED,21.68325055,39.14988539
BOM,19.08798699,72.85147057
ESR,-26.31520243,-69.76506875
TLS,43.6301757,1.36495414
LIT,34.72906798,-92.23418638
PTY,9.08330785,-79.38311688
DXB,25.24990449,55.35762031
RST,43.91012223,-92.49614208
BJF,70.59980899,29.66659662
AQP,-16.33773871,-71.55481282
BOD,44.82931626,-0.71441938
SSA,-12.91661573,-38.33319326
LBV,0.45910999,9.41522153
DUT,53.90093581,-166.5354087
HMO,29.09627577,-111.0458365
UBI,-6.71659662,155.6995989
BOJ,42.56957601,27.51520244
SDF,38.17958364,-85.73840717
ASU,-25.23907562,-57.51898394
GHA,32.38212375,3.80053474
TFS,28.04432772,-16.57242169
ROB,6.23966767,-10.35882352
ENA,60.56734147,-151.2507066
LAD,-8.85297936,13.23603894
WRL,43.96736057,-107.9527884
PHX,33.43516041,-112.0116692
BSR,30.55548126,47.79127195
VCP,-23.00741022,-47.13432008
HAN,21.03575247,105.8897441
XXX,41.94992359,-88.33309777
PUS,35.17070281,129.130233
IFP,35.18325055,-114.5830405
SJC,37.36100075,-121.9252483
YTM,46.51541251,-74.7550611
HRE,-17.92270816,31.10127958
YAP,9.48214285,138.0760313
IOA,39.69625667,20.82244078
BDL,41.93846447,-72.68313596
YHZ,44.88317416,-63.51646294
MLL,61.8656608,-162.0684683
YTZ,43.64988539,-79.38311688
MIR,35.75683728,10.75273108
INC,38.3498663,106.3497135
NKG,31.99514896,118.8113445
COK,9.94440411,76.27173413
ELM,42.16071427,-76.89505347
UST,29.94992359,-81.33311687
UFA,54.73315506,55.93315507
YQR,50.43317416,-104.6530749
VKO,55.58319327,37.26657752
XNA,36.28155079,-94.30639801
IST,40.97652787,28.81518334
CTN,-15.44329639,145.1829832
XMY,-10.48326966,142.4496371
BMA,59.35261649,17.94631397
DBQ,42.40989304,-90.71058058
WUX,31.58325055,120.3163293
PHL,39.87152406,-75.24201679
IKT,52.26652024,104.4163866
KBV,8.02912527,98.80393429
USK,65.949809,57.399809
DAY,39.8998854,-84.22087471
ILG,39.67820854,-75.60727653
POM,-9.4432964,147.2196142
AMM,31.71657753,35.99988539
PEK,40.06655843,116.5996753
LEJ,51.43235293,12.24161573
LTN,51.88315507,-0.35162337
CCS,10.60634071,-66.98898012
SDU,-22.8999236,-43.16653933
FUE,28.45238731,-13.86354087
STR,48.68983956,9.22190603
FMM,47.99237967,10.24354468
KRK,50.08321236,19.78326966
SAV,32.12710083,-81.19921694
LAN,42.77904888,-84.58808248
GLV,64.54400304,-163.0371085
GDZ,44.56655843,38.01657753
SLC,40.78401451,-111.9666348
AKN,58.66844918,-156.6351795
DRV,5.15609242,73.13009931
FSC,41.4998663,9.09992359
MEX,19.4351986,-99.07253627
FOR,-3.77664246,-38.53430098
DQA,46.75542397,125.1371849
YYC,51.11264323,-114.0194232
DAL,32.84684872,-96.85307485
AET,66.56149731,-152.657945
ZRH,47.45821237,8.55160426
LGG,50.63737584,5.4433155
INN,47.26014132,11.34385025
JHG,22.01659662,100.7997135
TEB,40.84961801,-74.06201298
CLE,41.41180288,-81.84786094
GWY,53.30013368,-8.94104276
BJL,13.34994269,-16.66661572
NCE,43.66375093,7.21747515
GFK,47.95181434,-97.17834223
CVG,39.04766996,-84.66841099
ERF,50.97960273,10.95802138
HKT,8.11048509,98.31222306
SZB,3.13326966,101.5497135
XQP,9.44994268,-84.1497708
MPL,43.58072955,3.96743697
LRH,46.18040488,-1.18579066
BAH,26.27074101,50.63737584
MKE,42.95013368,-87.89696332
HGN,19.29883498,97.9761268
GRO,41.90070663,2.76050419
INV,57.54236058,-4.04828112
RAB,-4.33326965,152.3663101
PMI,39.55152787,2.73884643
UIO,-0.13773871,-78.48592435
CGY,8.41604277,124.6102368
AUH,24.43326966,54.64984719
VIE,48.11098165,16.55826966
RFD,42.197097,-89.09226507
AXM,4.44998089,-75.76644384
SCK,37.89430862,-121.2388464
AOI,43.61653933,13.3601986
SJU,18.43991595,-66.00206262
BOG,4.6999618,-74.14978991
WEH,37.4998854,122.0830405
CTU,30.69992359,103.9497135
NOU,-22.01688311,166.2104278
IAH,29.98321236,-95.33972496
FCO,41.80015278,12.23880823
HOI,-18.1499427,-140.9496371
STN,51.88315507,0.23330786
HNS,59.24564551,-135.5185256
BAX,53.36653933,83.7497899
FLL,26.07410235,-80.15145148
BGW,33.26653933,44.49986631
RNO,39.49766996,-119.7672078
AJF,29.98321236,40.1998854
BZE,17.53601985,-88.30977845
BHX,52.45290297,-1.74637126
LPW,56.38315507,-134.8329832
KEP,28.13239112,81.576165
AAX,-19.56795262,-46.92902977
PNI,7.01659663,158.2357334
NAP,40.88433918,14.29079448
YWG,49.89986631,-97.23305957
YEG,53.30402978,-113.5913675
AHB,18.23325057,42.6498472
YWL,52.18458746,-122.0441367
DTW,42.21846828,-83.3483766
TBS,41.66653933,44.94986631
OPS,-11.99994269,-55.99984719
COR,-31.3129297,-64.19925514
FAT,36.7709702,-119.7132926
WRO,51.09986629,16.88325057
VAK,61.52841864,-165.5898587
NKO,-16.58325056,-44.4498472
HNL,21.32578303,-157.9212949
CAN,23.18325057,113.2658136
SXF,52.36650113,13.49994268
LCK,39.81652023,-82.93309777
DZA,-12.78328876,45.28321236
TOJ,40.49656225,-3.4458174
BIQ,43.46957601,-1.52274636
HET,40.85322764,111.8213904
ARN,59.66178379,17.93382352
PLS,21.76907943,-72.2681436
LHR,51.47125668,-0.45275018
LAX,33.94211229,-118.4068946
LCA,34.87488539,33.62463711
MHT,42.93821619,-71.43867455
MZT,23.14990449,-106.2497326
KIN,17.9499236,-76.73313596
PRD,-20.09994269,119.1163865
LNO,-28.88325055,121.2996944
MCE,37.28462565,-120.5124522
CWB,-25.52658517,-49.17765468
SFB,28.79988539,-81.26642475
JAN,32.30964475,-90.07557294
KGL,-1.96776163,30.13991595
ASR,38.70406798,35.50960656
DME,55.3998472,37.88319326
EOH,6.21663481,-75.58315507
TXL,52.56038961,13.29551182
BLQ,44.53069136,11.29686782
LUX,49.62765468,6.20660808
DLE,47.04986629,5.43328876
PVH,-8.73328876,-63.8998281
HRB,45.7498854,126.6663484
CDY,6.99998088,118.4663674
SCE,40.7707219,-77.88116881
LEX,38.03961038,-84.60200534
APW,-13.83328875,-171.9995798
LGA,40.77931626,-73.87563024
AZD,31.89768906,54.2814935
NRN,51.60538578,6.14994269
YUB,69.43619174,-133.0246753
SFO,37.61934681,-122.3724408
LHE,31.52074102,74.40257829
YQM,46.11652023,-64.68317416
EDI,55.948453,-3.35024827
SHJ,25.34576011,55.39566461
VAC,52.91653933,8.04998089
ROC,43.12127577,-77.67060732
REC,-8.12578303,-34.92375858
ARR,-45.03317416,-70.83311688
YOW,45.32068371,-75.67259356
BTV,44.47265086,-73.15284567
ITM,34.78155078,135.4413484
LGC,33.00739113,-85.07062641
AGP,36.67156225,-4.49799463
YDF,49.21650113,-57.399809
KUL,2.7433155,101.6930672
WAW,52.16653933,20.96659663
JDO,-7.19994268,-39.31655842
HJJ,27.110466,109.037796
BMG,39.13985865,-86.61451489
FOC,26.09988539,119.2830023
COS,38.80874712,-104.7088808
YWM,52.33315507,-55.99984719
CAG,39.2471161,9.05603513
TIF,21.48827347,40.5432009
BUN,3.82494268,-76.99560732
MHN,42.04984719,-101.0164056
SFC,16.24996179,-61.28313597
CMN,33.36657753,-7.586631
BGO,60.29346828,5.21940411
HER,35.33961038,25.1801757
STT,18.33741405,-64.96925133
IWA,56.9998281,40.9998472
HEL,60.32538196,24.97156225
WLK,66.6025783,-159.9829068
ALA,43.3498854,77.03313597
BEN,32.0998854,20.26661572
RNN,55.06541251,14.7576967
YRG,54.33317416,-58.41652023
PSM,43.06655844,-70.76648203
FDH,47.66705499,9.51245224
FMN,36.74100457,-108.2288961
THR,35.68962947,51.315699
DEB,47.48875093,21.61518334
KTN,55.3498281,-131.5830023
TUO,-38.74211229,176.0834415
SIT,57.04847211,-135.2329641
PPT,-17.54713521,-149.6134836
JUI,53.68315507,7.06661573
THE,-5.06522152,-42.81766614
TKC,4.11663483,9.33328875
NJC,60.94984719,76.48309778
PVR,20.6865928,-105.2647059
HVN,41.26512603,-72.8881398
KAZ,1.16665392,127.8663483
RHO,36.40542397,28.08603894
GMA,3.23496943,19.76854467
LOS,6.58882733,3.32635599
DRW,-12.41659663,130.871906
PAO,37.46069517,-122.1135791
BWN,4.9249618,114.9275019
MLA,35.8999045,14.51659663
GSO,36.09184491,-79.94255155
RZE,50.11650113,22.01659662
BFI,47.5287433,-122.2991024
SAC,38.04986629,-121.9330405
ORD,41.97794117,-87.90590143
ALG,36.69322001,3.21720778
LPS,48.4826585,-122.9352559
EGC,44.8498854,0.48328876
STP,44.93319327,-93.06640564
YYR,53.31652023,-60.39980901
TLH,30.39963712,-84.35173795
USH,-54.80259739,-68.32757829
YTD,55.31648203,-97.69973261
MXX,60.999809,14.5499427
IGU,-25.5999236,-54.48317416
TCL,33.22098928,-87.61059968
MGW,39.64262796,-79.91562259
PIO,-13.74992359,-76.21644384
WLG,-41.32373949,174.8009358
TOY,36.64406034,137.1885218
PIT,40.49656225,-80.23561878
SDQ,18.42908707,-69.66898394
LFW,6.16243314,1.25414438
ROR,7.3643812,134.5526929
GZT,37.06655842,37.33321237
OPU,-8.03330785,142.9329832
MAN,53.35318944,-2.27664246
CNF,-19.63326965,-43.96850649
RTA,-12.48242932,177.0706455
KRR,45.06652024,38.91652023
HAJ,52.46098165,9.68496942
CRW,38.37266996,-81.59283802
GEA,-22.25964475,166.4704354
AUC,7.07160045,-70.74230328
RAR,-21.20019098,-159.799618
FAB,51.28321237,-0.76661573
SAT,29.53825437,-98.47167685
BWI,39.17543925,-76.67119938
TRI,36.47601221,-82.40614972
SAL,13.69354467,-89.11781893
ADH,58.59980901,125.3996562
PBN,-10.69996179,13.74992359
VRN,45.39625668,10.8880061
BAF,42.13321236,-72.7498281
MDC,1.48332695,124.8496753
AJU,-10.98328876,-37.0498854
BNN,65.46010312,12.20689456
TAO,36.0998663,120.3163293
CTS,42.7957219,141.6688121
MYY,4.45525209,114.0005157
MIA,25.79243697,-80.28586706
YQG,42.27404506,-82.96369365
LNE,-15.84992359,168.166272
JOK,56.71650114,47.89984719
DYU,38.5498854,68.82341481
EXT,50.73403359,-3.42163864
DLA,4.01327348,9.7090909
SDV,32.11071427,34.77931626
TIP,32.89990449,13.18326966
CTM,18.48185636,-88.33309777
PFQ,39.62068372,47.85762031
VLC,39.49016423,-0.47859051
ZSA,24.05993122,-74.53286859
BFS,54.65317035,-6.22465621
NAA,-30.2998854,149.8329259
LIN,45.44931243,9.27828495
DEL,28.5735103,77.10063024
DPL,8.59996179,123.3496753
IEV,50.40177615,30.45074482
KRT,15.59936973,32.55601602
TIA,41.4168449,19.71657752
TPE,25.07102749,121.5433155
HEA,34.20681816,62.22650877
ALB,42.74570282,-73.80509931
NUE,49.498453,11.0668831
CHO,38.14125285,-78.45286476
SIN,1.35802137,103.9102941
NBO,-1.31665392,36.93071046
KQA,54.13315507,-165.782945
ESD,48.70817416,-122.9121658
OLB,40.8984912,9.51772345
RBR,-9.96663483,-67.7998281
KKN,69.72261267,29.8932582
MLM,19.83323147,-101.0164056
HFT,70.67927806,23.66825821
KIJ,37.95320854,139.1221352
FKB,48.77927807,8.08051946
LAG,10.59992359,-66.93317416
OUA,12.35271198,-1.51271962
SON,-15.51657753,167.2162529
SDY,47.70681816,-104.191673
PSI,25.29992359,63.36096255
HSV,34.64266615,-86.77534375
MVD,-34.83323146,-56.03319327
WTL,60.3498472,-162.632945
SJO,9.99992359,-84.1997899
KBP,50.34986631,30.91655844
ALD,-11.68326966,-69.33311686
ELS,-33.03598165,27.82379678
LBC,53.8051375,10.71909853
NYP,40.70849884,-73.72517187
PUY,44.89153932,13.92352939
AUA,12.50213902,-70.01367454
TAE,35.88323146,128.6663102
AAB,-26.6998854,141.0413102
MUL,31.18321236,-83.78313597
TLL,59.41317799,24.83239113
CGK,-6.11659663,106.6497135
CJU,33.50546217,126.4946906
EIN,51.45320854,5.38882734
NAT,-5.91050419,-35.24352559
GRR,42.88097782,-85.52394957
LAP,24.12547745,-110.298071
SRN,-42.1498854,145.3163102
YMM,56.65261649,-111.2202445
AGS,33.36629104,-81.96674941
SBA,34.42769289,-119.8391138
ISP,40.79656225,-73.10064934
HPN,41.06877386,-73.70758211
DLM,36.71653933,28.78321237
DMK,13.91103894,100.6080596
SBN,41.70429716,-86.31228036
VNO,54.63317417,25.28325055
KWI,29.2301757,47.97513367
BHS,-33.40903359,149.6529603
DCA,38.85154696,-77.0367456
BUF,42.94096637,-78.73619173
NBE,36.07545835,10.43829257
FKS,37.22652786,140.4324293
BZO,46.46012221,11.32631778
NEV,17.20490832,-62.59234147
MDP,-5.83326966,140.8329832
SUF,38.90821237,16.24159663
RLG,53.91789532,12.27828493
FAU,22.35045835,56.48622993
APC,38.21212756,-122.2796791
APF,26.15271199,-81.77503818
LBA,53.86512603,-1.65469824
BPG,-15.84992359,-52.38317417
LEI,36.84430863,-2.37221159
SFN,-31.71657753,-60.81652024
REU,41.14984719,1.16940411
ISB,33.61380823,73.10397249
TUF,47.42818945,0.72748279
ANS,-13.71657753,-73.35561495
RBH,58.5498472,-155.7995798
BCM,46.5984912,26.88185637
BOH,50.78038577,-1.83689838
SHE,41.81653933,123.4996753
BJI,47.50960656,-94.93447287
BLL,55.73817799,9.1499427
HFE,31.8499045,117.2830405
YNL,58.2748281,-104.0808632
MNY,-7.3499427,155.566272
TAH,-19.33326966,169.2495607
CZM,20.51659663,-86.93307867
YQQ,49.71652023,-124.8929908
MAH,39.86126812,4.21524063
SXI,25.91659663,54.53319326
ALP,36.18071046,37.22652786
ACK,41.2565317,-70.05951106
IPN,-19.4999427,-42.53319327
SGN,10.81718868,106.6575057
PAK,21.93323146,-159.616272
YHY,60.84539724,-115.7780558
CLR,33.13321236,-115.5163865
YYT,47.61680671,-52.7498663
GRQ,53.12011077,6.57553474
ADB,38.28323147,27.1498854
CRL,50.45901451,4.45387699
RDU,35.87515277,-78.78174177
UTM,34.68071046,-90.34612299
CWA,44.78210465,-89.658919
PUN,-1.36661572,26.33325057
LEY,52.46653933,5.53326966
ARA,30.03770052,-91.88365163
SVG,58.87958364,5.63468295
CEE,59.28317416,38.06653933
AJA,41.92402597,8.80301755
VVC,4.078877,-73.56646294
LIH,21.97906797,-159.3454354
PRG,50.10068754,14.25991213
YCC,45.0998663,-74.56644383
GEG,47.61680671,-117.5369175
AUS,30.19990449,-97.66638655
ZEL,52.16653933,-128.0996562
DJE,33.87404505,10.78326966
YIH,30.69992359,111.1830596
NTE,47.15821236,-1.60966386
CAI,30.13739494,31.40683727
VDM,-40.8498472,-63.01650114
LNZ,48.23319326,14.18743314
ULN,47.89984719,106.8664056
DUS,51.28097783,6.75275018
LTO,25.98323146,-111.3497326
SDJ,38.135466,140.9235103
BNE,-27.42490449,153.0851413
TIN,27.71659663,-8.16663483
FTA,-19.41657753,170.2495989
STM,-2.43328876,-54.69986629
YEV,68.29978991,-133.4829832
BOO,67.26898395,14.3721543
PPE,31.3498854,-113.5330405
SVQ,37.41795262,-5.89302901
NAY,40.0734912,116.6080405
TSN,39.11877387,117.3466387
LPP,61.045932,28.15656989
ACC,5.59526355,-0.17079831
LVI,-17.82049273,25.8221161
MGA,12.14106186,-86.16835369
CAE,33.93626814,-81.1156226
AAT,43.93321236,89.4997517
IYK,35.6565699,-117.8288388
OTP,44.56655843,26.09988539
PNS,30.47240259,-87.18810159
BGY,45.66875477,9.70021008
GUM,13.47994652,144.7907372
PNL,36.81296791,11.96075248
FTE,-50.28013749,-72.05311305
RNP,11.14996179,166.8829068
YCY,70.41646294,-68.49980901
CTA,37.46653932,15.06382734
SNN,52.70179525,-8.92465621
MSN,43.08323146,-89.36642475
FAI,64.8142666,-147.862414
TRD,63.4498281,10.93326966
PRN,42.57347211,21.035466
RNS,48.06846828,-1.7313598
NHV,-8.76663482,-140.149618
XMN,24.46655842,118.1163484
YXY,60.71648203,-135.0663483
KMG,25.01659663,102.6830787
AGA,30.38044307,-9.5457983
OVB,55.01648203,82.61642475
PMK,-18.33328875,146.6663102
BMX,59.3617838,-155.2563025
MCT,23.59159662,58.27901068
KSM,62.06149731,-163.2976318
BUD,47.43317417,19.23323146
PMC,-41.43323147,-73.0997899
DUR,-29.614343,31.11629104
ILO,10.71440029,122.5432964
TRN,45.2023682,7.64936973
PER,-31.93155079,115.9680481
ROA,37.32461802,-79.9761841
IFO,48.88321236,24.68325056
NAN,-17.75299845,177.4473071
AAL,57.09287622,9.8499236
YKU,53.83315506,-78.999809
COU,38.81350267,-92.21894575
YQY,46.16653933,-60.04984719
MKL,35.60127958,-88.91504964
MYR,33.67906797,-78.92950725
MBH,-25.51655844,152.7129488
TPP,-6.51107714,-76.3984148
ICT,37.6524064,-97.42809394
BRE,53.04648585,8.78995414
YYQ,58.76648204,-94.16642473
BNA,36.12656606,-86.68172268
ASZ,-5.86661572,150.366291
HLT,-37.6498854,142.0601986
GYE,-2.15443085,-79.87534376
VER,19.14992359,-96.18305958
HLZ,-37.86101985,175.3328686
BRI,41.1379297,16.76493505
VAW,70.3550993,31.04490067
LFM,27.36737967,53.20290297
CCC,22.51243314,-78.50809778
ARW,46.18321236,21.26659663
TMP,61.46373184,23.73878914
OWB,37.740699,-87.1655844
CSX,28.18659281,113.2213522
YLM,64.3998472,-140.5496562
LUZ,30.23325055,102.9830787
GOT,57.66652024,12.28326966
BSL,47.58987776,7.52996561
HGU,-5.82719632,144.2946142
TYN,37.74986631,112.6163674
OKE,27.43321237,128.6163483
SNV,4.54996179,-61.11652023
UIB,5.680233,-76.64255155
PTP,16.26743696,-61.52624139
SDL,62.53315507,17.4499045
HOR,38.51986248,-28.71715048
IBR,36.17824674,140.4177044
EVE,68.49648585,16.67967913
PLH,50.41650114,-4.11663483
DNK,48.4498854,34.98323146
BHR,27.67631779,84.43229563
SCQ,42.89627577,-8.41524062
KIX,34.42379679,135.2466005
ODS,46.43319326,30.68325055
CZF,61.78092053,-166.0359626
YZZ,49.05538578,-117.6088808
KNS,-39.88321236,143.882945
PZU,19.57769289,37.21375094
PMO,38.18181817,13.09938883
CKG,29.49992359,106.3497135
YDP,56.53315506,-61.66650114
KGT,38.14268524,101.7380443
URT,9.13326966,99.31638654
PBG,44.6998854,-73.48315507
KIF,53.01371275,-89.84977081
SUE,44.84375476,-87.42118028
AVO,27.5998854,-81.51646294
CME,18.64990449,-91.7997708
EGE,39.64486248,-106.9116692
YNZ,33.3854278,120.1249618
CNS,-16.88325057,145.7512987
CRV,38.99656225,17.07908707
ISU,35.56071428,45.31461037
FRW,-21.15991213,27.48242932
KHD,33.43848355,48.28069135
FBM,-11.59079448,27.52906798
YQX,48.94652404,-54.56315889
RGL,-51.61650112,-69.28315507
DSN,39.84986629,110.0330214
CPR,42.90847974,-106.4622422
SVX,56.73317416,60.7998472
LUJ,-31.36655844,29.58323146
BLK,53.77179142,-3.03609625
OMA,41.30236821,-95.89388846
CLO,3.54608478,-76.38477845
KLR,56.68481664,16.28714667
YXU,43.03321236,-81.1497708
MLI,41.44875858,-90.50477463
RES,-27.45131779,-59.05066843
KRW,40.08323147,53.08315507
UGC,41.64986629,60.53313596
FGU,-16.04994269,-141.8329641
CMF,45.6406799,5.88105423
BGI,13.0721734,-59.49287623
CBN,-6.74994268,108.5330787
SOF,42.69488158,23.40825057
VQS,18.11407563,-65.42234528
DND,56.45259739,-3.00830785
BGA,7.10718103,-73.12786477
SCW,61.66650114,50.76652023
GOE,-5.36665392,151.849618
SFD,7.88525591,-67.43898012
MOB,30.68823528,-88.24062259
KNX,-15.78495033,128.7080214
EGX,58.20762031,-157.3698816
SJP,-20.81659663,-49.41652023
TSA,25.06655844,121.5163293
MAF,31.9407181,-102.2011077
SCN,49.2143239,6.99998088
KPM,-5.38326966,143.9329641
YBV,52.35538577,-97.01642475
UKT,40.43319327,-75.3497899
FAS,64.93149349,-14.060466
PBO,-23.16657753,117.7497135
IJK,56.83315507,53.46652023
ENV,40.73319327,-114.0330596
OVD,43.56652023,-6.03328876
YUM,32.65404888,-114.6066463
GZP,36.28321236,32.33325056
LOD,-15.31661572,167.9662529
YYA,50.3998281,-123.1330405
MHD,36.23657371,59.64150114
GTF,47.48542779,-111.3666348
PZO,8.30494652,-62.73426279
SMR,11.12217341,-74.22839953
YPE,56.22759739,-117.4399733
MAR,10.56663482,-71.73311688
LDB,-23.33187547,-51.13177997
UYL,12.07161954,24.89461419
DAC,23.78044308,90.38588616
SOV,59.4498472,-151.716291
BZN,45.78013749,-111.1591673
HAH,-11.53326965,43.26652024
YAM,46.48349885,-84.50752482
